path,y,src,sha1,dhash,cluster,norm_path
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00011.avi,0,REAL,f45ae89acc7921611364b32c603838fd4d93e5b8,3.278178253731553e+17,911,/content/drive/MyDrive/ai_detection_eval/PAPER_FINAL_R2RES_MID_ONLY_FULLDATA/normalized/v_00000.mp4
/content/drive/MyDrive/soravideo/sora2aivideos/s_690c31f9b9d881919fcc31e6f4eaa97c_1.mp4,1,AI,89e368ff9f4302694d0a349c4677dfac1b0ac939,4.584556736738357e+18,1908,/content/drive/MyDrive/ai_detection_eval/PAPER_FINAL_R2RES_MID_ONLY_FULLDATA/normalized/v_00001.mp4
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00675.avi,0,REAL,9138be1bcc6653c25b13f2da19ec608100c63b58,7.539701307508299e+18,1221,/content/drive/MyDrive/ai_detection_eval/PAPER_FINAL_R2RES_MID_ONLY_FULLDATA/normalized/v_00002.mp4
/content/drive/MyDrive/AudioModel/AI/ai_0927.mp4,1,AI,1e45c2b1ae3f62f0cf048138ee9f6b8f762e9369,1.7994606121722262e+19,1979,/content/drive/MyDrive/ai_detection_eval/PAPER_FINAL_R2RES_MID_ONLY_FULLDATA/normalized/v_00003.mp4
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00805.avi,0,REAL,8ffed2ce13236564d98df485da077a38184e8e60,8.138128705988391e+18,1643,/content/drive/MyDrive/ai_detection_eval/PAPER_FINAL_R2RES_MID_ONLY_FULLDATA/normalized/v_00004.mp4
/content/drive/MyDrive/AudioModel/AI/ai_0855.mp4,1,AI,88bfb269253d650095dffe4e9aff6249ced6691a,6.185362958392302e+18,1278,/content/drive/MyDrive/ai_detection_eval/PAPER_FINAL_R2RES_MID_ONLY_FULLDATA/normalized/v_00005.mp4
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00276.avi,0,REAL,2ba9e5cd82bee6b7e2370fd8f163a7003970d4b3,8.246201757064797e+18,196,/content/drive/MyDrive/ai_detection_eval/PAPER_FINAL_R2RES_MID_ONLY_FULLDATA/normalized/v_00006.mp4
/content/drive/MyDrive/AudioModel/AI/ai_1190.mp4,1,AI,fbd6ad972b5ad91fe5a4bdbe3b0695ba6fe45d52,1.28042797408588e+19,863,/content/drive/MyDrive/ai_detection_eval/PAPER_FINAL_R2RES_MID_ONLY_FULLDATA/normalized/v_00007.mp4
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00792.avi,0,REAL,5dc48f51c67f9b269ef809552e2ab9f1bb4fbe6a,1.4867910883238963e+19,1395,/content/drive/MyDrive/ai_detection_eval/PAPER_FINAL_R2RES_MID_ONLY_FULLDATA/normalized/v_00008.mp4
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00046.avi,0,REAL,24dce9908ca71e60d8c846c4b0c74b6a86ef967b,5.653775802876774e+16,438,/content/drive/MyDrive/ai_detection_eval/PAPER_FINAL_R2RES_MID_ONLY_FULLDATA/normalized/v_00009.mp4
