path,y,src
/content/drive/MyDrive/AudioModel/AI/ai_1078.mp4,1,AI
/content/drive/MyDrive/soravideo/sora2aivideos/s_690d31ea0efc81919aa9f35b2e3b5ce4_1.mp4,1,AI
/content/drive/MyDrive/soravideo/sora2aivideos/s_690d31ee2c8081918ff2874791a86afe_1.mp4,1,AI
/content/drive/MyDrive/soravideo/sora2aivideos/s_690c6ae10fe0819196206f31b54e499e_1.mp4,1,AI
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00944.avi,0,REAL
/content/drive/MyDrive/soravideo/sora2aivideos/s_6907b04dddec8191a2b08d13e155cbec_1.mp4,1,AI
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00118.avi,0,REAL
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00576.avi,0,REAL
/content/drive/MyDrive/AudioModel/AI/ai_0609.mp4,1,AI
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00605.avi,0,REAL
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00569.avi,0,REAL
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00556.avi,0,REAL
/content/drive/MyDrive/soravideo/sora2aivideos/s_690cc6c79e1c8191b1d168528c1e9f82_1.mp4,1,AI
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00636.avi,0,REAL
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_01024.avi,0,REAL
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00183.avi,0,REAL
/content/drive/MyDrive/AudioModel/AI/ai_1130.mp4,1,AI
/content/drive/MyDrive/soravideo/sora2aivideos/s_690c35f8a6f88191ba78eb9f4cc2cb41_1.mp4,1,AI
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_01192.avi,0,REAL
/content/drive/MyDrive/soravideo/sora2aivideos/s_690c767937fc819191169373995d18ad_1.mp4,1,AI
/content/drive/MyDrive/soravideo/sora2aivideos/s_690d014849348191a811ed483a1c8f5c_1.mp4,1,AI
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00777.avi,0,REAL
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00499.avi,0,REAL
/content/drive/MyDrive/AudioModel/AI/ai_0469.mp4,1,AI
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00090.avi,0,REAL
/content/drive/MyDrive/AudioModel/AI/ai_0984.mp4,1,AI
/content/drive/MyDrive/AudioModel/AI/ai_1053.mp4,1,AI
/content/drive/MyDrive/AudioModel/AI/ai_0527.mp4,1,AI
/content/drive/MyDrive/AudioModel/AI/ai_0153.mp4,1,AI
/content/drive/MyDrive/soravideo/sora2aivideos/s_690d31cf985c8191b43eccffde5b3170_1.mp4,1,AI
/content/drive/MyDrive/AudioModel/AI/ai_0759.mp4,1,AI
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_01082.avi,0,REAL
/content/drive/MyDrive/AudioModel/AI/ai_0712.mp4,1,AI
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00274.avi,0,REAL
/content/drive/MyDrive/soravideo/sora2aivideos/s_690d31f752448191aa14109528bdd84e_1.mp4,1,AI
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00612.avi,0,REAL
/content/drive/MyDrive/soravideo/sora2aivideos/s_690cba4fb7608191a42f1be0df1153d8_1.mp4,1,AI
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00648.avi,0,REAL
/content/drive/MyDrive/soravideo/sora2aivideos/s_690d31dd0374819192fa77936a03d8f7_1.mp4,1,AI
/content/drive/MyDrive/soravideo/sora2aivideos/s_690d31ec51a08191b0ad6f8ea3d9c303_1.mp4,1,AI
/content/drive/MyDrive/AudioModel/AI/ai_0342.mp4,1,AI
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00250.avi,0,REAL
/content/drive/MyDrive/soravideo/sora2aivideos/s_690ce0df377c8191a2b87a2a9493fa0b_1.mp4,1,AI
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_01067.avi,0,REAL
/content/drive/MyDrive/soravideo/sora2aivideos/s_690d31dbfbc88191b8093fd42c96fef4_1.mp4,1,AI
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00751.avi,0,REAL
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00677.avi,0,REAL
/content/drive/MyDrive/AudioModel/AI/ai_0259.mp4,1,AI
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00929.avi,0,REAL
/content/drive/MyDrive/soravideo/sora2aivideos/s_690d321413fc8191ba5d2f0746b4f372_1.mp4,1,AI
/content/drive/MyDrive/soravideo/sora2aivideos/s_690d31ec28f88191b7ce0a8160ff41cb_1.mp4,1,AI
/content/drive/MyDrive/soravideo/sora2aivideos/s_690cdbd009dc819197c709f9e5f5cc46_1.mp4,1,AI
/content/drive/MyDrive/AudioModel/AI/ai_0409.mp4,1,AI
/content/drive/MyDrive/AudioModel/AI/ai_1118.mp4,1,AI
/content/drive/MyDrive/soravideo/sora2aivideos/s_6907ca9e5b248191bbf265b937deb694_1.mp4,1,AI
/content/drive/MyDrive/AudioModel/AI/ai_0797.mp4,1,AI
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00802.avi,0,REAL
/content/drive/MyDrive/AudioModel/AI/ai_1049.mp4,1,AI
/content/drive/MyDrive/AudioModel/AI/ai_1052.mp4,1,AI
/content/drive/MyDrive/soravideo/sora2aivideos/s_690bf73e84248191a643f679287433bf_1.mp4,1,AI
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00724.avi,0,REAL
/content/drive/MyDrive/genvid_ucf_1200/real_1200/ucf_00597.avi,0,REAL
